Estado,Leche (miles de litros),Unnamed: 2_level_0,Unnamed: 3_level_0,Carne en canal (toneladas),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Otros productos,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Año,Mes-Año
Unnamed: 0_level_1,Bovino,Caprino,Total,Bovino,Porcino,Ovino,Caprino,Ave,Guajolote,Total,Huevo para plato,Miel,Cera en greña,Lana sucia,Unnamed: 15_level_1,Unnamed: 16_level_1
Aguascalientes,38835.07,,38835.07,3051.13,1807.38,77.585,18.373,34956.48,,39910.95,735.495,127.5,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Baja California,18684.29,37.8,18722.09,6306.56,107.477,30.438,19.215,94.649,,6558.34,2749.22,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Baja California Sur,2974.97,394.431,3369.4,584.656,104.94,23.652,43.019,57.269,,813.536,82.483,154.0,4.653,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Campeche,4131.3,3.92,4135.22,2329.77,640.695,182.151,3.999,2702.88,83.071,5942.57,440.349,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Coahuila,133611.37,4040.24,137651.62,4980.9,457.487,73.253,323.563,8659.14,,14494.34,5778.16,41.071,0.84,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Colima,3818.24,2.0,3820.24,755.963,653.936,13.686,7.929,1179.21,0.385,2611.11,127.236,265.589,6.733,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Chiapas,42157.6,,42157.6,10410.25,3805.59,217.913,,24787.79,110.21,39331.75,479.417,1555.92,25.906,10.76,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Chihuahua,105991.69,602.791,106594.48,7705.21,721.015,149.899,53.585,285.183,225.38,9140.27,518.935,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Ciudad de México,931.697,,931.697,41.898,128.603,17.611,,5.35,,193.462,6.616,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Durango,134094.19,2240.32,136334.51,12361.73,381.238,49.167,81.057,25151.52,,38024.71,7147.76,12.183,0.316,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Guanajuato,80051.64,3799.53,83851.17,5292.06,13015.65,219.474,136.447,20907.03,,39570.65,5932.94,79.673,0.071,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Guerrero,8375.85,,8375.85,4283.99,2197.16,129.849,356.445,1071.65,111.061,8150.16,790.495,649.649,15.046,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Hidalgo,34168.38,5.2,34173.58,2754.79,1724.43,773.572,67.931,8495.73,126.122,13942.58,556.313,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
México,38326.71,,38326.71,3737.36,2517.27,1237.7,44.214,11905.91,286.85,19729.31,1405.05,128.728,2.24,16.059,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Michoacán,33107.46,352.414,33459.88,10576.79,5070.65,198.453,239.715,5865.18,12.885,21963.67,1744.25,754.505,20.56,18.212,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Morelos,1834.63,,1834.63,636.052,501.44,68.343,61.933,6730.01,,7997.78,88.07,1138.78,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Nayarit,3445.11,,3445.11,1863.76,532.773,25.247,11.086,3701.75,,6134.61,2906.49,159.851,3.229,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Nuevo León,1378.67,378.085,1756.75,6707.91,1660.88,229.818,249.399,8145.27,,16993.27,8332.12,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Oaxaca,12737.39,,12737.39,5901.26,2657.96,243.029,342.199,1206.66,80.597,10431.7,597.156,1071.27,25.0,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Querétaro,36264.68,254.672,36519.35,9893.53,3820.96,126.378,18.754,35804.7,7.457,49671.78,1701.24,0.196,0.006,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Quintana Roo,575.497,1.027,576.524,388.389,345.251,53.861,2.719,728.611,15.282,1534.11,41.622,290.385,6.772,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
San Luis Potosí,13040.36,432.255,13472.62,12962.61,2764.79,284.087,388.99,9904.94,19.805,26325.21,12885.3,183.578,4.841,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Sinaloa,8714.47,,8714.47,10206.37,2135.39,96.26,92.676,14858.03,,27388.72,6629.73,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Tabasco,8084.29,,8084.29,6431.16,1377.03,31.971,,2817.4,137.66,10795.21,125.474,39.331,0.876,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Tamaulipas,1829.21,8.985,1838.19,2662.03,914.518,125.302,131.636,38.87,,3872.35,95.834,13.58,0.308,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Tlaxcala,7319.8,153.735,7473.53,827.173,1163.53,393.982,34.964,78.571,44.123,2542.34,142.137,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Veracruz,68421.03,212.802,68633.84,25774.91,17126.91,592.34,69.618,59268.91,144.123,102976.81,1560.51,360.809,11.043,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Zacatecas,17084.48,568.956,17653.43,4400.13,975.52,398.452,414.244,332.739,2.617,6523.7,454.748,90.644,1.952,5.99,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Total nacional,1150372.26,14610.07,1164982.33,199658.56,187455.26,7167.64,3768.99,374599.37,2184.36,774834.19,277294.42,10498.81,195.576,80.789,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Región Lagunera,255362.22,5196.66,260558.87,11837.51,429.35,21.577,195.734,33579.35,,46063.53,11498.04,16.358,0.414,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
