Fecha,Producto,Tipo de Venta,Precio Frecuente,Precio Minimo,Precio Maximo,Estado,Central de Abasto
03/01/2024,Huevo blanco,Mayoreo,31.0,,,JAL,Mercado de Abasto de Guadalajara
03/01/2024,Huevo blanco,Medio Mayoreo,31.5,,,JAL,Mercado de Abasto de Guadalajara
03/01/2024,Huevo blanco,Menudeo,32.0,,,JAL,Mercado de Abasto de Guadalajara
10/01/2024,Huevo blanco,Mayoreo,30.0,,,JAL,Mercado de Abasto de Guadalajara
17/01/2024,Huevo blanco,Mayoreo,32.0,,,JAL,Mercado de Abasto de Guadalajara
24/01/2024,Huevo blanco,Mayoreo,38.0,,,JAL,Mercado de Abasto de Guadalajara
31/01/2024,Huevo blanco,Mayoreo,42.0,,,JAL,Mercado de Abasto de Guadalajara
03/01/2024,Huevo blanco,Mayoreo,34.0,32.0,35.0,PUE,Central de Abasto de Puebla
10/01/2024,Huevo blanco,Mayoreo,33.0,31.0,35.0,PUE,Central de Abasto de Puebla
17/01/2024,Huevo blanco,Mayoreo,35.0,33.0,37.0,PUE,Central de Abasto de Puebla
24/01/2024,Huevo blanco,Mayoreo,40.0,38.0,42.0,PUE,Central de Abasto de Puebla
03/01/2024,Huevo blanco,Mayoreo,31.0,,,SLP,Centro de Abasto de San Luis Potosí
10/01/2024,Huevo blanco,Mayoreo,32.0,,,SLP,Centro de Abasto de San Luis Potosí
17/01/2024,Huevo blanco,Mayoreo,34.0,,,SLP,Centro de Abasto de San Luis Potosí
24/01/2024,Huevo blanco,Mayoreo,39.0,,,SLP,Centro de Abasto de San Luis Potosí
31/01/2024,Huevo blanco,Mayoreo,43.0,,,SLP,Centro de Abasto de San Luis Potosí
03/01/2024,Huevo blanco,Mayoreo,44.0,44.0,44.42,SON,Central de Abasto de Cd. Obregón
03/01/2024,Huevo blanco,Mayoreo,45.55,45.55,47.0,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
03/01/2024,Huevo blanco,Mayoreo,35.0,,,YUC,Central de Abasto de Mérida
10/01/2024,Huevo blanco,Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
17/01/2024,Huevo blanco,Mayoreo,35.0,,,YUC,Central de Abasto de Mérida
24/01/2024,Huevo blanco,Mayoreo,40.0,,,YUC,Central de Abasto de Mérida
31/01/2024,Huevo blanco,Mayoreo,44.0,,,YUC,Central de Abasto de Mérida
04/12/2024,Huevo blanco,Mayoreo,30.0,,,JAL,Mercado de Abasto de Guadalajara
11/12/2024,Huevo blanco,Mayoreo,28.5,,,JAL,Mercado de Abasto de Guadalajara
18/12/2024,Huevo blanco,Mayoreo,29.0,,,JAL,Mercado de Abasto de Guadalajara
25/12/2024,Huevo blanco,Mayoreo,31.0,,,JAL,Mercado de Abasto de Guadalajara
04/12/2024,Huevo blanco,Mayoreo,32.5,31.0,34.0,PUE,Central de Abasto de Puebla
11/12/2024,Huevo blanco,Mayoreo,31.0,29.0,33.0,PUE,Central de Abasto de Puebla
18/12/2024,Huevo blanco,Mayoreo,33.0,31.0,35.0,PUE,Central de Abasto de Puebla
25/12/2024,Huevo blanco,Mayoreo,33.0,31.0,35.0,PUE,Central de Abasto de Puebla
04/12/2024,Huevo blanco,Mayoreo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
11/12/2024,Huevo blanco,Mayoreo,28.5,,,SLP,Centro de Abasto de San Luis Potosí
18/12/2024,Huevo blanco,Mayoreo,29.5,,,SLP,Centro de Abasto de San Luis Potosí
25/12/2024,Huevo blanco,Mayoreo,30.0,,,SLP,Centro de Abasto de San Luis Potosí
04/12/2024,Huevo blanco,Mayoreo,42.66,40.0,42.66,SON,Central de Abasto de Cd. Obregón
04/12/2024,Huevo blanco,Mayoreo,39.77,39.77,41.5,SON,Mercado de Abasto Francisco I. Madero de Hermosillo
04/12/2024,Huevo blanco,Mayoreo,34.0,,,YUC,Central de Abasto de Mérida
11/12/2024,Huevo blanco,Mayoreo,33.0,,,YUC,Central de Abasto de Mérida
18/12/2024,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
25/12/2024,Huevo blanco,Mayoreo,32.0,,,YUC,Central de Abasto de Mérida
03/12/2025,Huevo blanco,Mayoreo,29.0,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo blanco,Medio Mayoreo,29.5,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo blanco,Menudeo,30.0,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo clasificado blanco,Caja 30 Docenas,29.0,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo clasificado blanco,Empaque Docenero,30.0,,,JAL,Mercado de Abasto de Guadalajara
10/12/2025,Huevo blanco,Mayoreo,28.0,,,JAL,Mercado de Abasto de Guadalajara
10/12/2025,Huevo blanco,Medio Mayoreo,28.5,,,JAL,Mercado de Abasto de Guadalajara
10/12/2025,Huevo blanco,Menudeo,29.0,,,JAL,Mercado de Abasto de Guadalajara
10/12/2025,Huevo clasificado blanco,Caja 30 Docenas,27.0,,,JAL,Mercado de Abasto de Guadalajara
10/12/2025,Huevo clasificado blanco,Empaque Docenero,28.0,,,JAL,Mercado de Abasto de Guadalajara
17/12/2025,Huevo blanco,Mayoreo,27.5,,,JAL,Mercado de Abasto de Guadalajara
17/12/2025,Huevo blanco,Medio Mayoreo,28.0,,,JAL,Mercado de Abasto de Guadalajara
17/12/2025,Huevo blanco,Menudeo,28.5,,,JAL,Mercado de Abasto de Guadalajara
17/12/2025,Huevo clasificado blanco,Caja 30 Docenas,26.0,,,JAL,Mercado de Abasto de Guadalajara
17/12/2025,Huevo clasificado blanco,Empaque Docenero,27.0,,,JAL,Mercado de Abasto de Guadalajara
24/12/2025,Huevo blanco,Mayoreo,26.0,,,JAL,Mercado de Abasto de Guadalajara
24/12/2025,Huevo blanco,Medio Mayoreo,26.5,,,JAL,Mercado de Abasto de Guadalajara
24/12/2025,Huevo blanco,Menudeo,27.0,,,JAL,Mercado de Abasto de Guadalajara
24/12/2025,Huevo clasificado blanco,Caja 30 Docenas,25.0,,,JAL,Mercado de Abasto de Guadalajara
24/12/2025,Huevo clasificado blanco,Empaque Docenero,26.0,,,JAL,Mercado de Abasto de Guadalajara
31/12/2025,Huevo blanco,Mayoreo,25.0,,,JAL,Mercado de Abasto de Guadalajara
31/12/2025,Huevo blanco,Medio Mayoreo,25.5,,,JAL,Mercado de Abasto de Guadalajara
31/12/2025,Huevo blanco,Menudeo,26.0,,,JAL,Mercado de Abasto de Guadalajara
31/12/2025,Huevo clasificado blanco,Caja 30 Docenas,25.0,,,JAL,Mercado de Abasto de Guadalajara
31/12/2025,Huevo clasificado blanco,Empaque Docenero,26.0,,,JAL,Mercado de Abasto de Guadalajara
08/01/2025,Huevo blanco,Mayoreo,31.5,,,JAL,Mercado de Abasto de Guadalajara
08/01/2025,Huevo blanco,Medio Mayoreo,32.0,,,JAL,Mercado de Abasto de Guadalajara
08/01/2025,Huevo blanco,Menudeo,32.5,,,JAL,Mercado de Abasto de Guadalajara
08/01/2025,Huevo clasificado blanco,Caja 30 Docenas,31.0,,,JAL,Mercado de Abasto de Guadalajara
08/01/2025,Huevo clasificado blanco,Empaque Docenero,32.0,,,JAL,Mercado de Abasto de Guadalajara
15/01/2025,Huevo blanco,Mayoreo,30.0,,,JAL,Mercado de Abasto de Guadalajara
15/01/2025,Huevo blanco,Medio Mayoreo,30.5,,,JAL,Mercado de Abasto de Guadalajara
15/01/2025,Huevo blanco,Menudeo,31.0,,,JAL,Mercado de Abasto de Guadalajara
15/01/2025,Huevo clasificado blanco,Caja 30 Docenas,29.0,,,JAL,Mercado de Abasto de Guadalajara
15/01/2025,Huevo clasificado blanco,Empaque Docenero,30.0,,,JAL,Mercado de Abasto de Guadalajara
22/01/2025,Huevo blanco,Mayoreo,31.5,,,JAL,Mercado de Abasto de Guadalajara
22/01/2025,Huevo blanco,Medio Mayoreo,32.0,,,JAL,Mercado de Abasto de Guadalajara
22/01/2025,Huevo blanco,Menudeo,32.5,,,JAL,Mercado de Abasto de Guadalajara
22/01/2025,Huevo clasificado blanco,Caja 30 Docenas,30.0,,,JAL,Mercado de Abasto de Guadalajara
22/01/2025,Huevo clasificado blanco,Empaque Docenero,31.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Mayoreo,39.5,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Medio Mayoreo,40.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo blanco,Menudeo,40.5,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo clasificado blanco,Caja 30 Docenas,38.0,,,JAL,Mercado de Abasto de Guadalajara
29/01/2025,Huevo clasificado blanco,Empaque Docenero,39.0,,,JAL,Mercado de Abasto de Guadalajara
03/12/2025,Huevo blanco,Mayoreo,32.0,31.0,34.0,PUE,Central de Abasto de Puebla
03/12/2025,Huevo rojo,Mayoreo,50.0,49.0,52.0,PUE,Central de Abasto de Puebla
10/12/2025,Huevo blanco,Mayoreo,32.0,28.0,34.0,PUE,Central de Abasto de Puebla
10/12/2025,Huevo rojo,Mayoreo,45.0,40.0,48.0,PUE,Central de Abasto de Puebla
17/12/2025,Huevo blanco,Mayoreo,31.0,30.0,34.0,PUE,Central de Abasto de Puebla
17/12/2025,Huevo rojo,Mayoreo,42.0,39.0,45.0,PUE,Central de Abasto de Puebla
24/12/2025,Huevo blanco,Mayoreo,32.0,30.0,34.0,PUE,Central de Abasto de Puebla
24/12/2025,Huevo rojo,Mayoreo,44.0,40.0,49.0,PUE,Central de Abasto de Puebla
31/12/2025,Huevo blanco,Mayoreo,30.0,29.0,31.0,PUE,Central de Abasto de Puebla
31/12/2025,Huevo rojo,Mayoreo,42.0,40.0,44.0,PUE,Central de Abasto de Puebla
08/01/2025,Huevo blanco,Mayoreo,33.5,32.5,34.5,PUE,Central de Abasto de Puebla
